,Case,Columns,Vectorizer,k,Direction,Exact,Precision,Recall,F1,Time
283,D8,2,sminilm,5,left,exact,0.007583582495243273,0.981242672919109,0.015050843800293106,1.3115379810333252
284,D8,2,sminilm,5,both,exact,0.0074620252042751556,0.9871043376318874,0.014812078352728008,1.3115379810333252
285,D8,2,sminilm,10,right,exact,0.030344557556773687,0.9085580304806565,0.05872769294888796,2.4594931602478027
286,D8,2,sminilm,10,left,exact,0.0038144423303433906,0.9871043376318874,0.007599518035317001,2.4594931602478027
287,D8,2,sminilm,10,both,exact,0.003759649099417388,0.9917936694021102,0.0074909020073138126,2.4594931602478027
288,D9,2,smpnet,1,right,exact,0.8386327503974563,0.91421143847487,0.8747927031509121,1.0351734161376953
289,D9,2,smpnet,1,left,exact,0.036461134744837254,0.9692374350086655,0.07027850646392611,1.0351734161376953
290,D9,2,smpnet,1,both,exact,0.03659447348767737,0.9766031195840554,0.07054552283183627,1.0351734161376953
291,D9,2,smpnet,5,right,exact,0.17829888712241654,0.9718370883882149,0.3013164965072542,3.3446474075317383
292,D9,2,smpnet,5,left,exact,0.0074193600964908,0.9861351819757366,0.01472791217608785,3.3446474075317383
293,D9,2,smpnet,5,both,exact,0.007369213422888176,0.9883015597920277,0.014629343988404273,3.3446474075317383
294,D9,2,smpnet,10,right,exact,0.08986486486486486,0.979636048526863,0.16462793068297654,6.430830478668213
295,D9,2,smpnet,10,left,exact,0.0037243492575750165,0.9900346620450606,0.007420782738317544,6.430830478668213
296,D9,2,smpnet,10,both,exact,0.0036982918029819095,0.9913344887348353,0.007369092326224049,6.430830478668213
297,D9,2,st5,1,right,exact,0.8485691573926868,0.9250433275563258,0.8851575456053068,1.1272382736206055
298,D9,2,st5,1,left,exact,0.03704790311802194,0.9848353552859619,0.07140949718037731,1.1272382736206055
299,D9,2,st5,1,both,exact,0.03711219702258227,0.9904679376083189,0.07154369767623818,1.1272382736206055
300,D9,2,st5,5,right,exact,0.17917329093799683,0.9766031195840554,0.3027941966684578,3.433169364929199
301,D9,2,st5,5,left,exact,0.00749107623099115,0.9956672443674177,0.014870273365839138,3.433169364929199
302,D9,2,st5,5,both,exact,0.007397980499154792,0.9974003466204506,0.014687023485201326,3.433169364929199
303,D9,2,st5,10,right,exact,0.09018282988871223,0.983102253032929,0.1652104266783166,6.566360712051392
304,D9,2,st5,10,left,exact,0.003755317588381986,0.9982668977469671,0.0074824872774983025,6.566360712051392
305,D9,2,st5,10,both,exact,0.003700279005853023,0.9987001733102253,0.007373239459146496,6.566360712051392
306,D9,2,sdistilroberta,1,right,exact,0.8529411764705882,0.9298093587521664,0.8897180762852405,1.0983290672302246
307,D9,2,sdistilroberta,1,left,exact,0.03668932244552019,0.9753032928942807,0.07071833618699047,1.0983290672302246
308,D9,2,sdistilroberta,1,both,exact,0.03679038414683668,0.9813691507798961,0.07092198581560284,1.0983290672302246
309,D9,2,sdistilroberta,5,right,exact,0.18028616852146265,0.9826689774696707,0.30467490596453517,3.449247360229492
310,D9,2,sdistilroberta,5,left,exact,0.007461737812331916,0.9917677642980935,0.01481203469730452,3.449247360229492
311,D9,2,sdistilroberta,5,both,exact,0.00740038501349482,0.994367417677643,0.01469143191849616,3.449247360229492
312,D9,2,sdistilroberta,10,right,exact,0.09069952305246423,0.988734835355286,0.16615698267074414,6.547142028808594
313,D9,2,sdistilroberta,10,left,exact,0.0037357586426091634,0.9930675909878682,0.007443515989594666,6.547142028808594
